iter	RMSE
0	0.2385242294
1	0.2281979615
2	0.2206666838
3	0.2150975519
4	0.2076528066
5	0.202658362
6	0.1992369487
7	0.1937028777
8	0.1910438386
9	0.187594818
10	0.1849695849
11	0.183019891
12	0.1796637597
13	0.1782495338
14	0.1766371022
15	0.1753268849
16	0.1736298443
17	0.172343836
18	0.1694942867
19	0.1685848164
20	0.1664630427
21	0.1643442299
22	0.1628728061
23	0.1621466726
24	0.1602480514
25	0.1585563067
26	0.1569378693
27	0.1554989409
28	0.1542162796
29	0.1532794084
30	0.1530238999
31	0.1527573727
32	0.1516169579
33	0.1509874649
34	0.1503160381
35	0.1501461545
36	0.1492042905
37	0.1478089883
38	0.147671928
39	0.1467121925
40	0.1464135477
41	0.1455341631
42	0.1444266326
43	0.1443305069
44	0.1433368023
45	0.1423589956
46	0.1420790141
47	0.1412599097
48	0.1404416113
49	0.1397591351
50	0.1391419566
51	0.1385833459
52	0.1379254347
53	0.1377161252
54	0.1374376142
55	0.1369625551
56	0.136718416
57	0.1365486869
58	0.1363409338
59	0.1359214482
60	0.1355344208
61	0.1351772356
62	0.1348100982
63	0.134647467
64	0.1343328307
65	0.1340162468
66	0.133653999
67	0.133526399
68	0.1332692104
69	0.1331724516
70	0.1329343404
71	0.1326377001
72	0.1325496979
73	0.1322809651
74	0.1321748386
75	0.1319921353
76	0.1318235514
77	0.1316033731
78	0.1314578362
79	0.1313373584
80	0.1312031588
81	0.1310942895
82	0.1310092542
83	0.1308822384
84	0.1307144467
85	0.1305768595
86	0.1304991523
87	0.1304274123
88	0.1302888718
89	0.130196172
90	0.1300876075
91	0.1300217531
92	0.1299730221
93	0.1298643396
94	0.1297908477
95	0.129697933
96	0.1296404658
97	0.1295736648
98	0.1294994584
99	0.1294577947
